event_id,session_id,user_id,event_type,product_id,category,timestamp,quantity,price
f7a04c56-cfd6-4c1f-b3b8-f040ca19c87a,e0908553-6547-43fa-9966-ef4c4107ee13,user1620,click,prod3,toys,2024-08-07 08:26:34,5,305.81
4702b61a-6d13-4622-8136-8a733baea3a0,f0997baa-50db-45cd-96d0-c31584872ca1,user22,add_to_cart,prod5,toys,2024-08-07 09:43:36,2,210.8
bf134440-c5e3-453e-9c60-f325278efbe6,f58cfa99-63c6-49b1-b74c-0f7f178d6030,user195,remove_from_cart,prod4,toys,2024-08-10 05:27:24,1,290.61
9effbec0-221e-4158-82b9-1d9fca5d38e7,096434e9-ae95-485c-811b-7e97df6b692d,user2629,click,prod1,home,2024-08-10 17:24:48,1,462.18
57a28837-5f3c-4f77-b25b-249c3219bbce,c0ca77ce-595b-4541-8e82-0f7094d814c8,user2827,add_to_cart,prod4,books,2024-08-06 22:15:35,2,320.32
c80b33cc-4f7c-451c-9532-1664ce6e345e,f3d4f764-0093-44a5-9e3c-81f0cdee998a,user1342,purchase,prod2,home,2024-08-10 13:27:48,3,467.63
48d79bb8-0453-4785-b82f-da95730b65c6,c142b66b-f5ed-4655-9123-96898aef59a8,user580,add_to_cart,prod4,electronics,2024-08-06 07:38:05,2,380.68
ef01131d-fde1-4565-a530-a5e2e7b13b14,9d36abb8-f242-408d-85c1-4b57e4564756,user1852,add_to_cart,prod1,electronics,2024-08-08 06:05:10,5,428.23
cae155dd-d0b1-4671-8470-c1a1d1808ac4,167edca4-2f44-4f7b-a9c8-1b7e78c91e1c,user351,purchase,prod5,home,2024-08-08 20:32:39,2,448.25
3a63db42-7c66-4e0e-a650-6d936352f038,41215394-4854-48d1-9d04-7bbb53e8e458,user1107,purchase,prod5,books,2024-08-08 10:40:38,1,348.13
b8e9bc5f-6f3b-41fe-b659-a64450aa44c1,fb8e82db-e509-4c48-a11f-05530cfa83b0,user47,view,prod1,electronics,2024-08-08 01:47:36,5,479.82
699fded8-bddb-46ec-9bf4-6412e359676e,c70b01d6-5278-4098-9bee-315e36792676,user756,remove_from_cart,prod4,clothing,2024-08-05 15:01:11,2,413.7
b1cb7d0b-1eeb-4b5d-82c8-dea4d4ab269e,80da062d-049f-4727-99fc-81b129307e71,user2118,remove_from_cart,prod4,books,2024-08-05 10:06:51,2,80.3
9589d9b4-52d9-425a-a96d-8fd57fed06d9,f7b9b8f7-7312-4abe-807e-4d30509e0dfb,user2511,view,prod1,books,2024-08-05 22:51:55,1,462.09
dd7b230a-c918-4dac-bb1c-553e0489438c,cf01c334-910a-423a-9797-a85fb3350d69,user167,remove_from_cart,prod5,toys,2024-08-09 14:08:39,4,389.22
d279baa2-6d6f-4f24-a9b7-ad78064230a4,7b65bf3d-0333-4997-8c08-4a45f090727a,user1911,remove_from_cart,prod4,clothing,2024-08-09 02:07:19,4,62.74
d6572341-0ebc-4382-9da6-eeccc1303c4d,9adf5bc4-cd19-4119-a3a8-d7941de1e66d,user464,click,prod2,books,2024-08-08 09:12:24,5,445.42
33e16044-e966-4e16-a9f5-8c15a852c485,1b7d5cbe-4813-498a-b460-308f86f507f9,user2952,purchase,prod1,home,2024-08-07 21:31:42,1,443.53
7612aba1-8bb4-4786-a0bc-781ac8a6f1f5,9943c86e-28ef-4118-aeb8-2a63040e716f,user1413,remove_from_cart,prod2,electronics,2024-08-11 20:48:22,5,386.36
efa18955-2210-49f8-a5b0-fb49282ff55f,9406a666-8d47-4fce-b72f-2cb6bca0460c,user2086,remove_from_cart,prod3,clothing,2024-08-06 17:35:13,1,154.2
0c4c696a-cc03-4de7-8439-6ae87af5ae6b,aca9bf9b-76de-42c1-9d9f-99fed3c5b286,user1175,add_to_cart,prod2,books,2024-08-10 05:23:01,3,328.83
beebb78d-adcf-4da2-88c8-7d03b9965319,836e8e58-1cec-417b-9e5c-27b317ea7759,user1686,click,prod5,toys,2024-08-05 14:25:44,2,263.05
af649504-274d-4f66-bff3-6540f7922d15,295bc21f-9509-4c65-9436-2cbc2995db39,user1759,view,prod2,electronics,2024-08-06 18:00:40,4,220.57
0b0705c0-7eb0-4457-849d-2d8922c82bd4,c0215a55-f615-4a46-9dab-e6c97881f343,user2038,view,prod1,home,2024-08-10 15:52:41,3,119.45
5ce64784-cc33-4a92-9ccb-520302689937,5d2b192f-9569-47dc-8679-a1acb08bc7a8,user1258,remove_from_cart,prod2,toys,2024-08-08 12:53:09,1,205.59
fe712649-c5e8-43ed-a75a-1537a4a75949,6d0945e9-524f-4867-94a2-b64b150cb8f9,user891,add_to_cart,prod2,books,2024-08-11 04:17:05,2,284.26
6fab12b8-aeed-4a34-8464-5ccf4145ce0a,7be77fc4-c742-4604-b32e-80506e8c8e4f,user1960,add_to_cart,prod1,clothing,2024-08-10 05:47:59,3,317.98
7eeb4ddd-2033-46c1-ab18-8bd45d0f18e3,a8098520-9df1-4e92-8498-7e2c1e983b35,user343,add_to_cart,prod5,toys,2024-08-08 16:25:32,2,191.91
4c5824e6-c6ae-46d4-8f7b-f454bf532387,c800c6ac-b4f6-4690-9112-a647f1371c22,user544,add_to_cart,prod4,home,2024-08-07 05:04:12,5,86.49
4ce3a4aa-109f-4107-b2ec-11460c97ddef,a0fbd393-4c46-45b0-8656-46d04a9e499a,user37,remove_from_cart,prod4,books,2024-08-08 15:39:41,1,30.48
747f526c-7928-4fed-9867-abe4346a4937,b6a15c4d-364f-455a-a63a-6e968669f65f,user966,remove_from_cart,prod2,books,2024-08-05 23:18:29,5,182.2
3b636112-b11e-4b41-a7f7-d5389f7e9403,6c5e06e1-393f-44e0-a57f-f9e4385b0988,user991,add_to_cart,prod2,home,2024-08-08 02:04:09,4,363.54
7758013c-5cde-4904-9c57-004e8e5a3963,903eb33a-9c32-45a6-8239-7b581c118507,user171,click,prod4,books,2024-08-07 00:06:44,4,348.86
